time,ticker,open,close,high,low,volume,time_milliseconds
2025-01-27 05:00:00+00:00,AAPL,224.02,229.86,232.15,223.98,94863418,1737954000000
2025-01-28 05:00:00+00:00,AAPL,230.85,238.26,240.19,230.81,75682044,1738040400000
2025-01-29 05:00:00+00:00,AAPL,234.12,239.36,239.85,234.01,45475767,1738126800000
2025-01-30 05:00:00+00:00,AAPL,238.66,237.59,240.79,237.21,55658279,1738213200000
2025-01-31 05:00:00+00:00,AAPL,247.19,236.0,247.19,233.44,101071628,1738299600000
2025-02-03 05:00:00+00:00,AAPL,229.99,228.01,231.83,225.7,73039761,1738558800000
2025-02-04 05:00:00+00:00,AAPL,227.25,232.8,233.13,226.65,45014201,1738645200000
2025-02-05 05:00:00+00:00,AAPL,228.53,232.47,232.67,228.27,39664989,1738731600000
2025-02-06 05:00:00+00:00,AAPL,231.28,233.22,233.8,230.43,29869249,1738818000000
2025-02-07 05:00:00+00:00,AAPL,232.6,227.63,234.0,227.26,39707224,1738904400000
2025-02-10 05:00:00+00:00,AAPL,229.57,227.65,230.59,227.2,33096475,1739163600000
2025-02-11 05:00:00+00:00,AAPL,228.2,232.62,235.23,228.13,53710612,1739250000000
2025-02-12 05:00:00+00:00,AAPL,231.2,236.87,236.96,230.68,45243281,1739336400000
2025-02-13 05:00:00+00:00,AAPL,236.91,241.53,242.34,235.57,53614054,1739422800000
2025-02-14 05:00:00+00:00,AAPL,241.25,244.6,245.55,240.99,40383927,1739509200000
2025-02-18 05:00:00+00:00,AAPL,244.15,244.47,245.18,241.84,48822491,1739854800000
2025-02-19 05:00:00+00:00,AAPL,244.66,244.87,246.01,243.16,32204215,1739941200000
2025-02-20 05:00:00+00:00,AAPL,244.94,245.83,246.78,244.29,32316907,1740027600000
2025-02-21 05:00:00+00:00,AAPL,245.95,245.55,248.69,245.22,53196141,1740114000000
2025-02-24 05:00:00+00:00,AAPL,244.93,247.1,248.86,244.42,51326396,1740373200000
2025-02-25 05:00:00+00:00,AAPL,248.0,247.04,250.0,244.91,48013272,1740459600000
2025-02-26 05:00:00+00:00,AAPL,244.33,240.36,244.98,239.13,44433564,1740546000000
2025-02-27 05:00:00+00:00,AAPL,239.41,237.3,242.46,237.06,41153639,1740632400000
2025-02-28 05:00:00+00:00,AAPL,236.95,241.84,242.09,230.2,56833349,1740718800000
2025-03-03 05:00:00+00:00,AAPL,241.79,238.03,244.03,236.11,47183985,1740978000000
2025-03-04 05:00:00+00:00,AAPL,237.71,235.93,240.07,234.68,53798024,1741064400000
2025-03-05 05:00:00+00:00,AAPL,235.42,235.74,236.55,229.23,47227642,1741150800000
2025-03-06 05:00:00+00:00,AAPL,234.44,235.33,237.86,233.16,45155019,1741237200000
2025-03-07 05:00:00+00:00,AAPL,235.1,239.07,241.37,234.76,46250710,1741323600000
2025-03-10 04:00:00+00:00,AAPL,235.54,227.48,236.16,224.22,72071197,1741579200000
2025-03-11 04:00:00+00:00,AAPL,223.81,220.84,225.84,217.45,76124402,1741665600000
2025-03-12 04:00:00+00:00,AAPL,220.14,216.98,221.75,214.91,62547467,1741752000000
2025-03-13 04:00:00+00:00,AAPL,215.95,209.68,216.84,208.42,61318730,1741838400000
2025-03-14 04:00:00+00:00,AAPL,211.25,213.49,213.95,209.58,60107582,1741924800000
2025-03-17 04:00:00+00:00,AAPL,213.31,214.0,215.22,209.97,48073426,1742184000000
2025-03-18 04:00:00+00:00,AAPL,214.16,212.69,215.15,211.49,42427021,1742270400000
2025-03-19 04:00:00+00:00,AAPL,214.22,215.24,218.76,213.75,54383891,1742356800000
2025-03-20 04:00:00+00:00,AAPL,213.99,214.1,217.49,212.22,48862947,1742443200000
2025-03-21 04:00:00+00:00,AAPL,211.56,218.27,218.84,211.28,93568368,1742529600000
2025-03-24 04:00:00+00:00,AAPL,221.0,220.73,221.48,218.58,44299483,1742788800000
2025-03-25 04:00:00+00:00,AAPL,220.77,223.75,224.1,220.08,34493583,1742875200000
2025-03-26 04:00:00+00:00,AAPL,223.51,221.53,225.02,220.47,34492906,1742961600000
2025-03-27 04:00:00+00:00,AAPL,221.39,223.85,224.99,220.56,37093374,1743048000000
2025-03-28 04:00:00+00:00,AAPL,221.67,217.9,223.81,217.68,39818617,1743134400000
2025-03-31 04:00:00+00:00,AAPL,217.0,222.13,225.62,216.23,65283571,1743393600000
2025-04-01 04:00:00+00:00,AAPL,219.81,223.19,223.68,218.9,36336840,1743480000000
2025-04-02 04:00:00+00:00,AAPL,221.31,223.89,225.19,221.02,35905904,1743566400000
2025-04-03 04:00:00+00:00,AAPL,205.54,203.19,207.49,201.25,103419006,1743652800000
2025-04-04 04:00:00+00:00,AAPL,193.89,188.38,199.88,187.34,125897269,1743739200000
2025-04-07 04:00:00+00:00,AAPL,177.2,181.46,194.15,174.62,160406286,1743998400000
2025-04-08 04:00:00+00:00,AAPL,186.7,172.42,190.34,169.21,120696904,1744084800000
2025-04-09 04:00:00+00:00,AAPL,171.95,198.85,200.61,171.89,184261774,1744171200000
2025-04-10 04:00:00+00:00,AAPL,189.06,190.42,194.78,183.0,121879981,1744257600000
2025-04-11 04:00:00+00:00,AAPL,186.1,198.15,199.54,186.06,87435915,1744344000000
2025-04-14 04:00:00+00:00,AAPL,211.44,202.52,212.94,201.16,101352911,1744603200000
2025-04-15 04:00:00+00:00,AAPL,201.85,202.14,203.51,199.8,51343872,1744689600000
2025-04-16 04:00:00+00:00,AAPL,198.36,194.27,200.7,192.37,59727673,1744776000000
2025-04-17 04:00:00+00:00,AAPL,197.2,196.98,198.83,194.42,52164675,1744862400000
2025-04-21 04:00:00+00:00,AAPL,193.26,193.16,193.8,189.81,46742537,1745208000000
2025-04-22 04:00:00+00:00,AAPL,196.12,199.74,201.59,195.97,52976371,1745294400000
2025-04-23 04:00:00+00:00,AAPL,206.0,204.6,208.0,202.8,52929165,1745380800000
2025-04-24 04:00:00+00:00,AAPL,204.89,208.37,208.83,202.94,47310989,1745467200000
2025-04-25 04:00:00+00:00,AAPL,206.37,209.28,209.75,206.2,38222258,1745553600000
2025-04-28 04:00:00+00:00,AAPL,210.0,210.14,211.5,207.46,38737224,1745812800000
2025-04-29 04:00:00+00:00,AAPL,208.69,211.21,212.24,208.37,36827633,1745899200000
2025-04-30 04:00:00+00:00,AAPL,209.3,212.5,213.58,206.67,52286454,1745985600000
2025-05-01 04:00:00+00:00,AAPL,209.08,213.32,214.56,208.9,57364925,1746072000000
2025-05-02 04:00:00+00:00,AAPL,206.09,205.35,206.99,202.16,101010621,1746158400000
2025-05-05 04:00:00+00:00,AAPL,203.1,198.89,204.1,198.21,69018452,1746417600000
2025-05-06 04:00:00+00:00,AAPL,198.61,197.88,198.61,197.88,144205,1746504000000
